fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
2022-04-07 05:11:30.390000+00:00,,,,,5,MUY BUENO. SE DEMORARON ALGO DE TIEMPO CON NUESTRO PEDIDO Y NOS REGALARON SANGRIA.,Casa Res | Steak House (Mall del Sol),True,MUY BUENO. SE DEMORARON ALGO DE TIEMPO CON NUESTRO PEDIDO Y NOS REGALARON SANGRIA.,en
2021-11-12 05:03:14.979000+00:00,,,,,5,Mi lugar favorito...  excelente su comida.,Casa Res | Steak House (Mall del Sol),True,Mi lugar favorito... excelente su comida.,pt
2020-12-24 20:36:27.705000+00:00,,,,,5,"Excelente servicio,comida exquisita",Casa Res | Steak House (Mall del Sol),True,"Excelente servicio,comida exquisita",pt
2022-03-30 03:41:57.536000+00:00,,,,,5,Rico menú...recomendado.,Casa Res | Steak House (Mall del Sol),True,Rico menú...recomendado.,pt
2022-02-28 19:01:18.622000+00:00,,,,,5,Ufff divina la Carne,Casa Res | Steak House (Mall del Sol),True,Ufff divina la Carne,it
2021-10-22 03:37:41.173000+00:00,,,,,5,Se come riiicooo pero lleven bastante 💵,Casa Res | Steak House (Mall del Sol),True,Se come riiicooo pero lleven bastante 💵,it
2021-02-08 01:53:00.826000+00:00,,,,,2,Papas al horno heladas......poca calidad...no volvere...,Casa Res | Steak House (Mall del Sol),True,Papas al horno heladas......poca calidad...no volvere...,pt
2022-09-27 16:40:36.172000+00:00,,,,,5,Súper rico lo máximo recomendado,Casa Res | Steak House (Mall del Sol),True,Súper rico lo máximo recomendado,pt
2021-01-24 20:54:14.242000+00:00,,,,,4,Excelente restaurante.,Casa Res | Steak House (Mall del Sol),True,Excelente restaurante.,ro
2020-03-11 01:49:36.032000+00:00,,,,,3,La carne un poco dura,Casa Res | Steak House (Mall del Sol),True,La carne un poco dura,it
2020-11-26 20:39:15.530000+00:00,,,,,5,Excelente Todo...!! ☺️☺️,Casa Res | Steak House (Mall del Sol),True,Excelente Todo...!! ☺️☺️,pt
2021-11-17 22:38:50.228000+00:00,,,,,5,Rica la chistorra.....,Casa Res | Steak House (Mall del Sol),True,Rica la chistorra.....,it
2021-07-25 15:43:39.124000+00:00,,,,,5,Riquísima la comida ‼️,Casa Res | Steak House (Mall del Sol),True,Riquísima la comida ‼️,ca
2023-08-19 20:50:26.784000+00:00,,5.0,5.0,5.0,5,"Next to Noe Sushi Bar, inside Mall del Sol... I start with salad 🥗 a variety of fresh local vegetables... And yes they know about steaks 🥩 chicken, pork and shrimps, also 🍔... Yes they have cocktails 🍹 and 🍷 wine or juice with  fruits... They have a ritual for your 🎂 birthday. I don't like to wait in line and they are very helpful about this need.",Casa Res | Steak House (Mall del Sol),True,"Next to Noe Sushi Bar, inside Mall del Sol... I start with salad 🥗 a variety of fresh local vegetables... And yes they know about steaks 🥩 chicken, pork and shrimps, also 🍔... Yes they have cocktails 🍹 and 🍷 wine or juice with fruits... They have a ritual for your 🎂 birthday. I don't like to wait in line and they are very helpful about this need.",en
2022-06-19 03:47:13.499000+00:00,,,,,3,"Mushroom had good flavour, the baked potato as a side was a good option. This restaurant has an unlimited salad bar. This restaurant is affordable for a steak house.",Casa Res | Steak House (Mall del Sol),True,"Mushroom had good flavour, the baked potato as a side was a good option. This restaurant has an unlimited salad bar. This restaurant is affordable for a steak house.",en
2021-08-31 01:18:35.613000+00:00,,,,,5,Really great place. Nice decor fast helpful service. Tasty food and drinks. Good atmosphere.,Casa Res | Steak House (Mall del Sol),True,Really great place. Nice decor fast helpful service. Tasty food and drinks. Good atmosphere.,en
2024-07-24 01:19:04.797000+00:00,,5.0,5.0,5.0,5,"Casa Res, situato nel cuore di Mall del Sol a Guayaquil, offre un'esperienza culinaria eccezionalissima. La sua posizione strategica lo fa il luogo idealissimo per gustare il migliore cibo a base di carni, in un ambiente accoglientissimo e modernissimo. I piatti, deliziosamente preparati con ingredienti freschissimi e selezionatissimi. I prezzi sono ragionevolissimi considerando la qualità e l'atmosfera raffinatissima. Il servizio impeccabilissimo, assicurando un'esperienza memorabilissima. Casa Res è senza dubbio il destino gastronomico perfettissimo a Guayaquil. Secondo me è il migliore.",Casa Res | Steak House (Mall del Sol),True,"Casa Res, situato nel cuore di Mall del Sol a Guayaquil, offre un'esperienza culinaria eccezionalissima. La sua posizione strategica lo fa il luogo idealissimo per gustare il migliore cibo a base di carni, in un ambiente accoglientissimo e modernissimo. I piatti, deliziosamente preparati con ingredienti freschissimi e selezionatissimi. I prezzi sono ragionevolissimi considerando la qualità e l'atmosfera raffinatissima. Il servizio impeccabilissimo, assicurando un'esperienza memorabilissima. Casa Res è senza dubbio il destino gastronomico perfettissimo a Guayaquil. Secondo me è il migliore.",it
2023-12-15 20:56:32.305000+00:00,,1.0,1.0,1.0,1,Food they bring was burned and sangria was mixed with something... look at the photos,Casa Res | Steak House (Mall del Sol),True,Food they bring was burned and sangria was mixed with something... look at the photos,en
2023-05-09 15:08:58.195000+00:00,,2.0,2.0,1.0,1,"Meat quality is not good, not sure about that ""imported"" statement. Ribeye was very hard to chew. Appetizer arrived after entrées, had to ask the waiter for it. Salad bar looks unappetizing. Avoid it if you can.",Casa Res | Steak House (Mall del Sol),True,"Meat quality is not good, not sure about that ""imported"" statement. Ribeye was very hard to chew. Appetizer arrived after entrées, had to ask the waiter for it. Salad bar looks unappetizing. Avoid it if you can.",en
2023-03-31 17:07:07.722000+00:00,,,,,5,"Ambiente agradavel e confortavel. Atendimento foi agil e prestativo com informações diversas sobre menu e promoções. Os dois pratos pedidos, com cortes entregues no ponto solicitado, carne de qualidade superior, bem temperadas, e com acompanhamentos também bem temprados",Casa Res | Steak House (Mall del Sol),True,"Ambiente agradavel e confortavel. Atendimento foi agil e prestativo com informações diversas sobre menu e promoções. Os dois pratos pedidos, com cortes entregues no ponto solicitado, carne de qualidade superior, bem temperadas, e com acompanhamentos também bem temprados",pt
2020-01-08 01:00:44.635000+00:00,,,,,1,"Had lunch there today. Food arrived before drinks (!) , waiter was stressed. Manager couldn't care less about a request. Paying $30 per person for lunch there are many many places better and cheaper than this badly managed place. Ohh, and very noisy place one has to scream to have a conversation! NEVER AGAIN!!!",Casa Res | Steak House (Mall del Sol),True,"Had lunch there today. Food arrived before drinks (!) , waiter was stressed. Manager couldn't care less about a request. Paying $30 per person for lunch there are many many places better and cheaper than this badly managed place. Ohh, and very noisy place one has to scream to have a conversation! NEVER AGAIN!!!",en
2024-09-21 04:09:00.571000+00:00,,2.0,1.0,3.0,1,"The name is the only thing that sells and attracts, because the cuts of meat are far below the quality standard of a good restaurant with the prices they demand",Casa Res | Steak House (Mall del Sol),True,"The name is the only thing that sells and attracts, because the cuts of meat are far below the quality standard of a good restaurant with the prices they demand",en
2020-11-27 13:21:02.441000+00:00,,,,,2,"It's good, but service is very slow, they took 40 min and the heated my steak sandwich in the microwave.",Casa Res | Steak House (Mall del Sol),True,"It's good, but service is very slow, they took 40 min and the heated my steak sandwich in the microwave.",en
2020-10-07 03:00:01.311000+00:00,,,,,5,Great place to share with Friends and family!,Casa Res | Steak House (Mall del Sol),True,Great place to share with Friends and family!,en
2021-11-13 16:29:11.820000+00:00,,,,,5,"Good cuts, great salad bar.
Be there outside the most busy hours and you will have perfect service.",Casa Res | Steak House (Mall del Sol),True,"Good cuts, great salad bar. Be there outside the most busy hours and you will have perfect service.",en
2020-07-21 23:03:16.837000+00:00,,,,,5,Nice good. Excellent service,Casa Res | Steak House (Mall del Sol),True,Nice good. Excellent service,en
2024-06-29 22:29:00.550000+00:00,,5.0,5.0,5.0,5,Very good value steak highly recommended,Casa Res | Steak House (Mall del Sol),True,Very good value steak highly recommended,en
2023-07-02 18:57:50.989000+00:00,,4.0,3.0,1.0,3,Service too slow and you need to ask at least 3 times to get your order.,Casa Res | Steak House (Mall del Sol),True,Service too slow and you need to ask at least 3 times to get your order.,en
2020-02-09 03:46:40.845000+00:00,,,,,5,Excelente food and courteous service!!,Casa Res | Steak House (Mall del Sol),True,Excelente food and courteous service!!,en
2020-02-21 20:38:38.173000+00:00,,,,,5,The best meat that I have been eat,Casa Res | Steak House (Mall del Sol),True,The best meat that I have been eat,en
2023-10-07 19:52:26.581000+00:00,,4.0,5.0,4.0,5,"Une trés bonne viande
Je conseil",Casa Res | Steak House (Mall del Sol),True,Une trés bonne viande Je conseil,fr
2020-02-23 02:20:51.298000+00:00,,,,,5,Super recomendado excelente comida,Casa Res | Steak House (Mall del Sol),True,Super recomendado excelente comida,pt
2021-11-20 22:22:01.239000+00:00,,,,,5,Delicious steaks with amazing views and space,Casa Res | Steak House (Mall del Sol),True,Delicious steaks with amazing views and space,en
2022-05-02 05:21:11.286000+00:00,,,,,5,Great place to eat in or outdoor.,Casa Res | Steak House (Mall del Sol),True,Great place to eat in or outdoor.,en
2025-04-06 19:06:51.735000+00:00,,5.0,5.0,5.0,5,Riquísimo!! Volveré sin duda,Don Parrilla Steak House - Urdesa,True,Riquísimo!! Volveré sin duda,pt
2025-02-17 20:15:04.174000+00:00,,1.0,5.0,1.0,1,"YO REALICÉ UNA RESERVACIÓN ME PROMETIERON PONER LA MÚSICA QUE YO QUISIERA Y DECORAR CON GLOBOS EN FIN FUI CON MI FAMILIA Y AMBAS COSAS QUE PEDI JAMAS LO HICIERON, LO PEOR DE TODO QUE ERA SAN VALENTÍN Y NI UN ARREGLO EN MI MESA O POR LO MENOS EN EL PISO DONDE ESTABA PÉSIMO PÉSIMO LO ÚNICO DE BUENO LA COMIDA",Don Parrilla Steak House - Urdesa,True,"YO REALICÉ UNA RESERVACIÓN ME PROMETIERON PONER LA MÚSICA QUE YO QUISIERA Y DECORAR CON GLOBOS EN FIN FUI CON MI FAMILIA Y AMBAS COSAS QUE PEDI JAMAS LO HICIERON, LO PEOR DE TODO QUE ERA SAN VALENTÍN Y NI UN ARREGLO EN MI MESA O POR LO MENOS EN EL PISO DONDE ESTABA PÉSIMO PÉSIMO LO ÚNICO DE BUENO LA COMIDA",pt
2024-02-05 13:28:11.459000+00:00,,5.0,5.0,5.0,5,Excelente lugar recomendado,Don Parrilla Steak House - Urdesa,True,Excelente lugar recomendado,pt
2023-11-09 13:31:34.836000+00:00,,5.0,5.0,3.0,5,EXCELENTE COMIDA... HERMOSO AMBIENTE.... PERO EL SERVICIO DEBE DE MEJORAR..,Don Parrilla Steak House - Urdesa,True,EXCELENTE COMIDA... HERMOSO AMBIENTE.... PERO EL SERVICIO DEBE DE MEJORAR..,pt
2023-08-29 15:37:58.219000+00:00,,5.0,4.0,5.0,5,Excelente sitio para comer rico,Don Parrilla Steak House - Urdesa,True,Excelente sitio para comer rico,it
2023-06-25 15:27:07.582000+00:00,,4.0,3.0,3.0,4,"I like the food but I want to share with you some arguments.

The rice with sweet corn was tasty but it doesn't have many sweet corn

The garlic bread wasn't crunchy.

The meat was very delicious, I really like the meat.",Don Parrilla Steak House - Urdesa,True,"I like the food but I want to share with you some arguments. The rice with sweet corn was tasty but it doesn't have many sweet corn The garlic bread wasn't crunchy. The meat was very delicious, I really like the meat.",en
2023-05-22 20:07:35.418000+00:00,,5.0,5.0,5.0,5,Muy Rico. Excelente comida.,Don Parrilla Steak House - Urdesa,True,Muy Rico. Excelente comida.,pt
2023-03-10 14:56:33.416000+00:00,,5.0,5.0,5.0,5,"Mis respetos, volveré pronto❤️😋",Don Parrilla Steak House - Urdesa,True,"Mis respetos, volveré pronto❤️😋",pt
2022-05-11 12:06:07.101000+00:00,,,,,5,"Excelente 👌, todo exquisito",Parrillada Restaurant El Dorado Sauces 3,True,"Excelente 👌, todo exquisito",pt
2020-01-18 16:19:13.345000+00:00,,,,,5,"Está  EXELENTE LA ATENCIÓN DE PRIMERA ,LA DECORACIÓN MUY ELEGANTE........RESUMIDO MAXIMO.",Parrillada Restaurant El Dorado Sauces 3,True,"Está EXELENTE LA ATENCIÓN DE PRIMERA ,LA DECORACIÓN MUY ELEGANTE........RESUMIDO MAXIMO.",pt
2023-02-12 00:03:18.872000+00:00,,4.0,4.0,4.0,4,Excelente de todo komo me gusta,Parrillada Restaurant El Dorado Sauces 3,True,Excelente de todo komo me gusta,pt
2023-04-10 05:24:13.486000+00:00,,5.0,5.0,5.0,5,Excelente para compartir,Parrillada Restaurant El Dorado Sauces 3,True,Excelente para compartir,pt
2021-06-14 15:59:10.821000+00:00,,,,,4,EXCELENTE SU ARROZ CON MENESTRA,Parrillada Restaurant El Dorado Sauces 3,True,EXCELENTE SU ARROZ CON MENESTRA,so
2021-02-23 03:42:33.451000+00:00,,,,,5,Excelente lugar recomendado,Parrillada Restaurant El Dorado Sauces 3,True,Excelente lugar recomendado,pt
2020-02-08 02:11:15.270000+00:00,,,,,3,Yo no comi solamente pase,Parrillada Restaurant El Dorado Sauces 3,True,Yo no comi solamente pase,it
2020-03-07 22:16:44.627000+00:00,,,,,5,Por su diversidad de comida,Parrillada Restaurant El Dorado Sauces 3,True,Por su diversidad de comida,pt
2023-08-13 01:32:10.584000+00:00,,4.0,5.0,5.0,4,Great food. The Corvina out of this world.. Great price,Parrillada Restaurant El Dorado Sauces 3,True,Great food. The Corvina out of this world.. Great price,en
2022-01-21 14:27:25.007000+00:00,,,,,5,"El Dorado, a place that is close to where I live, they sell some well-seasoned and delicious chickens, while you wait, they give you chifles with cheese, which are fresh and good, the freshly served chicken is very crispy and rich, it is a good environment to share with families and friends, and their natural juices are very cold and delicious, their lentil moors, it is an exquisite and succulent rice, the barbecue that they also know how to sell is very good and delicious in fact, their chorizo, roast meat, are good seasoned and appetizing, the salad they prepare is fresh and sweet and sour, the fries are rich and very good, the fried greens they prepare are very exquisite and soft, the service is very good, i recommend them.",Parrillada Restaurant El Dorado Sauces 3,True,"El Dorado, a place that is close to where I live, they sell some well-seasoned and delicious chickens, while you wait, they give you chifles with cheese, which are fresh and good, the freshly served chicken is very crispy and rich, it is a good environment to share with families and friends, and their natural juices are very cold and delicious, their lentil moors, it is an exquisite and succulent rice, the barbecue that they also know how to sell is very good and delicious in fact, their chorizo, roast meat, are good seasoned and appetizing, the salad they prepare is fresh and sweet and sour, the fries are rich and very good, the fried greens they prepare are very exquisite and soft, the service is very good, i recommend them.",en
2022-01-07 05:33:36.539000+00:00,,,,,5,Good food fast service,Parrillada Restaurant El Dorado Sauces 3,True,Good food fast service,en
2022-03-17 19:01:35.426000+00:00,,,,,5,Churrasco recomendado,Parrillada Restaurant El Dorado Sauces 3,True,Churrasco recomendado,pt
