"address","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Accesibilidad en silla de ruedas","reviewContext/Adecuado para niños","reviewContext/Espacios para estacionar","reviewContext/Estacionamiento","reviewContext/Eventos especiales","reviewContext/Lo que disfruté","reviewContext/Nivel de ruido","reviewContext/Ofertas especiales","reviewContext/Opciones de estacionamiento","reviewContext/Platos recomendados","reviewContext/Platos vegetarianos","reviewContext/Precio por persona","reviewContext/Reservas","reviewContext/Restricciones de dieta","reviewContext/Tamaño del grupo","reviewContext/Tiempo de espera","reviewContext/Tipo de asiento","reviewContext/Tipo de comida","reviewContext/Tipo de pedido","reviewDetailedRating/Ambiente","reviewDetailedRating/Comida","reviewDetailedRating/Servicio","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","false","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","Hace 21 horas","2026-08-07T19:57:17.274Z",,,,,,,,,,,,,,,,,,,,,,,"2","5","3","Ci9DQUlRQUNvZENodHljRjlvT2xkRmMwMW1NamRuTlRadFRYQTNlRjh3VVhOR1gwRRAB",,,,,,,,,,,,,,,,,,"Google",,,"0",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","3",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","La comida muy buena, pero el servicio estuvo deficiente, demoraban demasiado, tuve que pedirle a 3 personas lo mismo para que lo hagan llegar, con respecto al lugar, nuestra mesa estaba tan pegada a la pared que no podíamos movernos con facilidad. No hay espacio para tantas mesas.",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","true","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","Hace 1 día","2026-08-07T17:05:31.989Z",,,,,,"Hay suficiente espacio",,,,"Ruido moderado",,"Estacionamiento gratuito",,,"$10-15","No se requiere hacer una reserva",,,"Sin espera",,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2twc1NIZGlVVTVaV21WSmNVOVhiWFUyYWtZd04yYxAB",,,,,,,,,,,,,,,,,,"Google",,,"68",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","Comida fresca y ensaladas para elegir.",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","true","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","Hace 3 días","2026-08-04T21:51:27.788Z",,,,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21WVVdtZHlhVkpSWlZCTVFXeHVlbEZHY0ZwSVNuYxAB",,,,,,,,,,,,,,,,,,"Google",,,"37",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","3",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","Servicio lento",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","true","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy",,"false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","Hace 5 días","2026-08-03T01:04:14.609Z",,,,,,,,,,,,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2tkcVRrMTVhSGxIZERNMlZrRXlVMmRoZUROblNtYxAB",,,,,,,,,,,,,,,,,,"Google",,,"195",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false",,,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","false","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy",,"false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","una semana atrás","2026-08-01T17:08:39.545Z",,,,,,,,,,,,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT25OamNtTnJXVTVtY0VVNGJqbHZkV3RyWlhaZlNXYxAB",,,,,,,,,,,,,,,,,,"Google",,,"0",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false",,,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","true","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy",,"false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","una semana atrás","2026-07-30T23:35:06.899Z",,,,,,,,,,,,,,,,,,,,,,,"4","2","3","Ci9DQUlRQUNvZENodHljRjlvT2pneU9YVTVhbXRRUmtwdlQzRlRWbXBVWW1sUE1tYxAB",,,,,,,,,,,,,,,,,,"Google",,,"10",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","2",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false",,,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","true","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy",,"false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","una semana atrás","2026-07-29T21:29:38.191Z",,,,,,,,,,,,,,,,,,,,,,,"4","5","4","Ci9DQUlRQUNvZENodHljRjlvT214cUxXVkdjM0pDZDIxYVpWVkVXRkZuTkdkb1NXYxAB",,,,,,,,,,,,,,,,,,"Google",,,"11",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false",,,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","false","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","una semana atrás","2026-07-26T19:57:56.005Z",,,,,,,,,,,,,,,,,,,,,,,"1","2","1","Ci9DQUlRQUNvZENodHljRjlvT2w4eGFFZHhRa2d3Yld4ck9ETmpaMlpFTjFGVVMxRRAB",,,,,,,,,,,,,,,,,,"Google",,,"1",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","1",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","Pedí una picaña de res y el corte me llegó frío, lo que evidencia que el plato estuvo listo mucho antes de que me lo entregaran; y por si fuera poco, el pollo de la parrillada personal vino crudo",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","false","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","una semana atrás","2026-07-26T16:14:14.191Z",,,,,,,,,,"Ruido moderado",,,,,"$25-30",,,,"Sin espera",,"Cena",,"1","1","1","Ci9DQUlRQUNvZENodHljRjlvT2pWUlZGVndkWGhUV1ZGd1VtbEVVbEJ0YTFRM1QxRRAB",,,,,,,,,,,,,,,,,,"Google",,,"1",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","1",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","Hicimos una reserva para 24 personas por un cumpleaños, nos pusieron en una parte donde no funcionaba el aire, los cortes en terminos no solicitados, mucha demora, mesero nada diligente y baños sucios",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
"Avenida Francisco de Orellana, y y Alberto Borges Najera &, 090512 Guayaquil, Ecuador",,"8859694750892439654","Guayaquil","EC","0x902d6dfa064ccbc9:0x7af3f56f6d563866",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkGGpATJua3yERVqhnTeKL45CW-Hm-p-tPOP9Y4RoB26Hg99zsdoGm0DIEbuU4AVsFaop5FHrTBTy03lrKPNqUEys-DlHeN7cmo07eybpIaHRFd52ULVAwhdfaOkQEuHe7EpH6hNw=w533-h240-k-no","false","false","/g/11h4pl6jn9","es-419","0","-2.1653312","-79.895646",,"Kennedy","es","false","ChIJyctMBvptLZARZjhWbW_183o","090512","$10-20","2 semanas atrás","2026-07-24T00:47:17.820Z",,,,,,,,,,"Ruido moderado",,,,,"$15-20",,,"Apto para grupos de todos los tamaños","Sin espera",,,,"2","4","4","Ci9DQUlRQUNvZENodHljRjlvT2tRelZVWmhPRGswUjIwMVNUTmhRMWhPVjNKVU4zYxAB",,,,,,,,,,,,,,,,,,"Google",,,"1",,,"4892","2026-08-08T17:25:40.814Z","Direct Detail URL: https://www.google.com/maps/place/Casa+Res+%7C+Steak+House+(Francisco+de+Orellana)/@-2.1706965,-79.9055801,13.31z/data=!4m10!1m2!2m1!1sGrilling+Rustic!3m6!1s0x902d6dfa064ccbc9:0x7af3f56f6d563866!8m2!3d-2.1653312!4d-79.895646!15sCg9HcmlsbGluZyBSdXN0aWNaESIPZ3JpbGxpbmcgcnVzdGljkgESY2FydmVyeV9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZYUhOSWJsQkJFQUXgAQD6AQQIABBE!16s%2Fg%2F11h4pl6jn9?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","3",,"Avenida Francisco de Orellana, y y Alberto Borges Najera &","false","El baño en pesimo estado de limpieza",,"Casa Res | Steak House (Francisco de Orellana)","4.4",,"https://www.google.com/maps/search/?api=1&query=Casa%20Res%20%7C%20Steak%20House%20(Francisco%20de%20Orellana)&query_place_id=ChIJyctMBvptLZARZjhWbW_183o",
