"address","categories/0","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Adecuado para niños","reviewContext/Espacios para estacionar","reviewContext/Estacionamiento","reviewContext/Eventos especiales","reviewContext/Nivel de ruido","reviewContext/Ofertas especiales","reviewContext/Opciones de estacionamiento","reviewContext/Platos recomendados","reviewContext/Platos vegetarianos","reviewContext/Precio por persona","reviewContext/Reservas","reviewContext/Restricciones de dieta disponibles","reviewContext/Tamaño del grupo","reviewContext/Tiempo de espera","reviewContext/Tipo de asiento","reviewContext/Tipo de comida","reviewContext/Tipo de pedido","reviewDetailedRating/Ambiente","reviewDetailedRating/Comida","reviewDetailedRating/Servicio","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace 2 días","2026-08-06T03:14:21.981Z",,,,,,,,"Muy silencioso",,,,,"$35-40","No se requiere hacer una reserva",,,"Hasta 10 min",,,,"4","1","4","Ci9DQUlRQUNvZENodHljRjlvT210c2VtRkJVUzFIVUU5MFZsRlRiV05vZW5GMlQzYxAB",,,,,,,,"Google",,,"1",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","2",,"Victor Emilio Estrada 1219","false","La carne de res estaba durísima para cortar y masticar; posiblemente sea de una res vieja. El chorizo no sabía a uno como tal; el interior se veía hecho con restos de carne y había pimentones rojos bien picados en su interior. La menestra parecía recalentada y el patacón estaba duro. El mesero de turno recomendó jugo de limón con carne (para los gustos, colores, pero creería yo que la gente normalmente comería jugo de limón con pescado).",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores",,"false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace 4 días","2026-08-04T13:47:44.080Z",,,,,,,,"Ruido moderado",,,,,"$10-15",,,,"De 10 a 30 min",,,,"5","4","5","Ci9DQUlRQUNvZENodHljRjlvT25welQxRmtUSGRmTkdGSVRqQkdPV1kzZEZBd1VHYxAB",,,,,,,,"Google",,,"5",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false",,,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","true","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace 4 días","2026-08-04T00:28:48.097Z",,,,,,,,,,,,,"$20-25",,,,"Sin espera",,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2xWa2RrWkpkR2hxTlVaQ1ptTnNURkZ3UjNGVU9IYxAB",,,,,,,,"Google",,,"19",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Recordé lo q era antes el ñato x la calidad de su pecho paloma delicioso, y en el término qclo pedí",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","una semana atrás","2026-07-30T08:48:32.111Z",,,,,,,,"Ruido moderado",,,,,"$20-25",,,,"Hasta 10 min",,"Cena",,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT25kSlR6bHBPRmhJUkZkT00xa3lTVWt5YW1WbFJYYxAB","https://lh3.googleusercontent.com/grass-cs/ACvplmOGj_Iy9iibsSg3Mfpw5-9B4DGEJjtcYyuLToPB8ghQRvJqOrzYJEJiforQiG8hZLprQBkPBla554VFggun0bNzqjnwMLDN141ohqSojc4Mk5miffJFiY768o3-Q69W26STe-8FmbcxWUs=k-no","https://lh3.googleusercontent.com/grass-cs/ACvplmNrnpbZrbm6fyMfExorSSoK7R74NtSY491W-AKFVcTibDvte5OQEL8jHR89izBXMhhAnjfW7S03E5rP7PzXj4hL_dNAtexAaYQ0PDZZ8s3GihbiJItHBOxTrRzPZ0Uj8f0K7soIbDhMqY6G=k-no",,,,,,"Google",,,"7",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Todo perfecto, la comida riquisima y la atención no podria der mejor, se acercan a cantar unos señores muy amables",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","true","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","3 semanas atrás","2026-07-17T20:49:42.770Z",,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25WQ1kyUlJUWEF6Yld0WFFtRlJja281TjNkVFZGRRAB",,,,,,,,"Google",,,"86",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Todo de primera, la calidad està sùper bien
Recomendado
Los almuerzos estàn buenìsimos, no hay que desaprovecharlos, hasta con postre",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace un mes","2026-07-04T17:44:39.734Z",,,,,,,"Evento de temporada o de festividades","Silencioso, agradable para conversar",,,,,"$30-35",,,,,"Comedor cubierto",,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25oQ1ZHUmFSbXh0WVVSb1RUZ3RjbVYxZDA5ZlZXYxAB",,,,,,,,"Google",,,"4",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Exelente",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","true","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace un mes","2026-06-28T18:54:19.877Z",,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25SWVIySmFRMmxJVlc5b01WTjNObFZoWDFwRVoyYxAB",,,,,,,,"Google",,,"20",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Excelente",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace un mes","2026-06-26T19:17:18.659Z",,,,,,,,,,,,,"$5-10",,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21kbWFISllkRnBmZFV4MGQzRlpaREJuTFV4T2FYYxAB",,,,,,,,"Google",,,"1",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","De todo lo que e probado, lo mejor calidad precio si quieres comer calidad precio, la ñatica y el ejecutivo son brutales. Muy recomendandos y la atención 10/10, si te gusta la carne ven aquí.",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","true","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace un mes","2026-06-10T12:20:02.739Z",,,,,,,,"Ruido moderado","Ofertas de día de semana",,,,"$5-10","No se requiere hacer una reserva",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tkSWVHbFlaazlsVnpaSmNHUlBjRlJyZEhkMk1XYxAB",,,,,,,,"Google",,,"20",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Excelente lugar siguen manteniendo el sabor",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
"Victor Emilio Estrada 1219, 090507 Guayaquil, Ecuador","Restaurante","Restaurante","12291618415396188714","Guayaquil","EC","0x902d6e14a839ec67:0xaa9499d33456f22a",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIUzVJwpGT6y_wQQ_TKYbRgzO5ugvsumt9t1zWonuk6a3hjdvi8BSM03prBOmsGw6hCC9rMy2ViBaIpkI9HCjeB8TVchHmhSApUHrQYFx7ZvtNdOcKC6sHC5xlMlCM3-WwIhb0=w408-h306-k-no","false","false","/g/1vr3f6tq","es-419","0","-2.1615629","-79.9165523",,"Miraflores","es","false","ChIJZ-w5qBRuLZARKvJWNNOZlKo","090507","$10-35","Hace 2 meses","2026-06-08T02:46:09.737Z",,,,,,,,"Silencioso, agradable para conversar",,,,,"$20-25","No lo sé",,"3 o 4 personas",,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pSQ09XZFlZams1U1hsUWNYcHFVbkZmWDB0YVlsRRAB",,,,,,,,"Google",,,"4",,,"3350","2026-08-08T17:01:21.389Z","Direct Detail URL: https://www.google.com/maps/place/La+Parrilla+Del+%C3%91ato+-+Urdesa/@-2.1747534,-79.9216969,12.79z/data=!3m1!5s0x902d6d885fe9a76f:0x90560e68c111d162!4m12!1m2!2m1!1sLa+Parrilla+del+%C3%91ato!3m8!1s0x902d6e14a839ec67:0xaa9499d33456f22a!8m2!3d-2.1615629!4d-79.9165523!9m1!1b1!15sChVMYSBQYXJyaWxsYSBkZWwgw5FhdG8iA4gBAVoXIhVsYSBwYXJyaWxsYSBkZWwgw7FhdG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1vr3f6tq?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,"Victor Emilio Estrada 1219","false","Excelente servicio, buena comida y un ambiente tranquilo para disfrutar sin el estrés y el bullicio de gente amontonada.",,"La Parrilla Del Ñato - Urdesa","4.4",,"https://www.google.com/maps/search/?api=1&query=La%20Parrilla%20Del%20%C3%91ato%20-%20Urdesa&query_place_id=ChIJZ-w5qBRuLZARKvJWNNOZlKo",
