"address","categories/0","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Accesibilidad en silla de ruedas","reviewContext/Adecuado para niños","reviewContext/Espacios para estacionar","reviewContext/Estacionamiento","reviewContext/Eventos especiales","reviewContext/Nivel de ruido","reviewContext/Opciones de estacionamiento","reviewContext/Platos recomendados","reviewContext/Platos vegetarianos","reviewContext/Precio por persona","reviewContext/Reservas","reviewContext/Tamaño del grupo","reviewContext/Tiempo de espera","reviewContext/Tipo de asiento","reviewContext/Tipo de comida","reviewContext/Tipo de pedido","reviewDetailedRating/Ambiente","reviewDetailedRating/Comida","reviewDetailedRating/Servicio","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","true","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este",,"false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","Hace 2 horas","2026-08-08T13:54:14.417Z",,,,,,,,,"Silencioso, agradable para conversar",,,,"$10-15",,"3 o 4 personas",,,,,"4","3","4","Ci9DQUlRQUNvZENodHljRjlvT2pCTVUwZ3dkSEpZYVZGVFVtcFVPVkJKTkROUlNIYxAB",,,,,,,,,,,,,"Google",,,"3",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","4",,,"false",,,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este","es","false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","Hace 3 días","2026-08-05T00:52:47.769Z",,,,,,,,,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT2xoVFFuUXRjVEpGVUdKVWRHWlZkM0k0YmxWQ01GRRAB",,,,,,,,,,,,,"Google",,,"2",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false","Me gustó",,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este",,"false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","Hace 3 días","2026-08-04T17:58:59.196Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2poUFpVdFBZVGxXUm5CRmQwVm1RM0l0VG1GelUwRRAB",,,,,,,,,,,,,"Google",,,"0",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false",,,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este",,"false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","Hace 4 días","2026-08-04T12:03:38.272Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pkeGNFVnVZbkJmVVU5U0xTMUpSVVEwZVZnMmJtYxAB",,,,,,,,,,,,,"Google",,,"0",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false",,,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","true","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este",,"false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","una semana atrás","2026-07-30T03:00:56.908Z",,,,,,,,,,,,,,,,,,,,"5","5","5","Ci9DQUlRQUNvZENodHljRjlvT25jdGRuQm1jSEoyTnpSelJHcHhjR1V3U1dnelRtYxAB",,,,,,,,,,,,,"Google",,,"4",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false",,,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este","es","false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","una semana atrás","2026-07-29T12:51:05.016Z",,,,,,,,,"Ruido moderado",,,,"$20-25",,"3 o 4 personas","Sin espera",,,,"4","5","4","Ci9DQUlRQUNvZENodHljRjlvT2tJd1ZsQTJMWE52VDJJME1EUnZTRGd6Y1MxUU5XYxAB",,,,,,,,,,,,,"Google",,,"2",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false","Hubo una confusión en cocina y nos prepararon la entrada, se les olvidó",,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este","es","false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","Editado una semana atrás","2026-07-29T01:52:59.911Z",,,,,,,,,,,,,"$10-15",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2s0NFZqQkVRVkY1ZVZVdFNWWjVSWHBaYTFoWmQwRRAB",,,,,,,,,,,,,"Google",,,"4",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false","He visitado dos establecimientos de rukito en horarios con poca afluencia y puedo opinar los siguiente:
El personal, algunos muy comprometidos con lo que hacen. Son embargo, en la arbolada un mesero joven poco profesional no me trajo la carta, a pesar de pasar varias veces junto a mi y no haber casi nadie, sentí mucho prejuicio en su mirada, quizás por que llegue con maletas, y poco presentable ya que venía del oriente y solo estaba de paso por Guayaquil para comer rukito

La comida excelente,
El lugar muy bien.

Actualizo, he leído algunos comentarios y coinciden con la atención de algunos meseros. Deberían hacer una mejor selección de un personal de calidad",,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","false","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este","es","false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","una semana atrás","2026-07-28T20:21:01.388Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xwSlNsZDNZVGxJTUVRMlltcEZiWE5ZWm14Mk5VRRAB",,,,,,,,,,,,,"Google",,,"1",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false","Chévere",,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","true","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este",,"false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","una semana atrás","2026-07-28T04:51:57.696Z",,,,,,,,,,,,,,,,,,,,,"5",,"Ci9DQUlRQUNvZENodHljRjlvT25ORlJYVkJZWHBoTFhWZlRWWkxYMVJXUjA1Q1dGRRAB",,,,,,,,,,,,,"Google",,,"19",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","5",,,"false",,,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
"090509 Guayaquil, Ecuador","Restaurante","Restaurante","13676875865269519723","Guayaquil","EC","0x902d6df1a996d4db:0xbdce0622e280c56b",,"https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnKUT7j8DXMVSe53pzbJl3CFfNDuEm9zljfvSuYIKrPFcEqIJod38gRQWhMyZiIWqd0rOe8pKtahHG2fjWFOtAmkbY6jlw0_irNRCAImjYSuBg2dZVczJYo7ueHW7OnZODMTOn2IA=w408-h725-k-no","false","true","/g/11h766fq7s","es-419","0","-2.1367108","-79.9020534",,"Alborada Este","es","false","ChIJ29SWqfFtLZARa8WA4iIGzr0","090509","$10-20","una semana atrás","2026-07-27T05:49:37.859Z",,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21WVldtSk9iVlZxTVZWbk1YTmtlbFpOVjE5dU5rRRAB",,,,,,,,,,,,,"Google",,,"32",,,"2716","2026-08-08T16:42:14.542Z","Direct Detail URL: https://www.google.com/maps/place/Rukito+Grill%26Drink+-+Alborada/@-2.1347917,-79.9223432,12.98z/data=!4m10!1m2!2m1!1srukito!3m6!1s0x902d6df1a996d4db:0xbdce0622e280c56b!8m2!3d-2.1367108!4d-79.9020534!15sCgZydWtpdG9aCCIGcnVraXRvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h766fq7s?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D","3",,,"false","Cuando esta ful sirven poca panceta",,"Rukito Grill&Drink - Alborada","4.5",,"https://www.google.com/maps/search/?api=1&query=Rukito%20Grill%26Drink%20-%20Alborada&query_place_id=ChIJ29SWqfFtLZARa8WA4iIGzr0",
